"Name","Type","X","Y"
"Ubi","MRT",103.898911,1.330008
"Kaki Bukit","MRT",103.909057,1.335076
"Bedok North","MRT",103.918054,1.335268
"Bedok Reservoir","MRT",103.93307,1.336595
"Tampines West","MRT",103.938244,1.345583
"Tampines East","MRT",103.955471,1.35631
"Upper Changi","MRT",103.961505,1.342218
"South View","LRT",103.745286,1.380299
"Keat Hong","LRT",103.749058,1.378604
"Teck Whye","LRT",103.753665,1.376738
"Phoenix","LRT",103.758021,1.378798
"Senja","LRT",103.762312,1.382852
"Jelapang","LRT",103.764547,1.386703
"Segar","LRT",103.769599,1.387713
"Fajar","LRT",103.770862,1.384502
"Bangkit","LRT",103.772576,1.380281
"Pending","LRT",103.771277,1.376223
"Petir","LRT",103.76655,1.377828
"Compassvale","LRT",103.900443,1.394615
"Rumbia","LRT",103.905947,1.391553
"Bakau","LRT",103.905412,1.38804
"Kangkar","LRT",103.90216,1.383957
"Ranggung","LRT",103.897386,1.384116
"Cheng Lim","LRT",103.89379,1.396332
"Farmway","LRT",103.889168,1.397178
"Kupang","LRT",103.881283,1.398271
"Thanggam","LRT",103.87561,1.397378
"Fernvale","LRT",103.876256,1.392033
"Layar","LRT",103.880022,1.392141
"Tongkang","LRT",103.885829,1.389519
"Renjong","LRT",103.890541,1.386827
"Cove","LRT",103.905792,1.399534
"Meridian","LRT",103.908884,1.397002
"Coral Edge","LRT",103.912633,1.39392
"Riviera","LRT",103.916056,1.39454
"Kadaloor","LRT",103.916536,1.399633
"Oasis","LRT",103.912736,1.402304
"Damai","LRT",103.908606,1.405293
"Sam Kee","LRT",103.90492,1.409808
"Teck Lee","LRT",103.906565,1.412783
"Punggol Point","LRT",103.90668,1.416932
"Samudera","LRT",103.902185,1.415955
"Nibong","LRT",103.900321,1.411865
"Sumang","LRT",103.898605,1.408501
"Soo Teck","LRT",103.897287,1.405436
