"Name","X","Y"
"Pcf Sparkletots Preschool @ Yuhua Blk 251 (Kn)",103.739795,1.3431
"Brainfit School House Pte Ltd",103.8465446,1.3271587
"Dayspring Kindergarten Private Limited",103.8990868,1.4152492
"Josiah Montessori Kinder-Care",103.965452,1.3330169
"Hanis Montessori Kindergarten (Kovan)",103.8787229,1.354652
"Toa Payoh Methodist Church Kindergarten",103.846869,1.334339
"America Montessori International Preschool ",103.890047,1.359756
"Damien Centre Kindergarten",103.798841,1.295636
"Bethesda Ang Mo Kio Kindergarten",103.837203,1.374963
"Busy Bees Singapore Pte.ltd",103.869139,1.374484
"Learning Kidz Educentre ",103.8477,1.371839
"Pcf Sparkletots Preschool @ Ayer Rajah Blk 41 (Cc)",103.740934,1.321638
"Mulberry Learning Centre @ Kallang Pte Ltd",103.8729085,1.3009806
"Nuture Tots Pre-School ",103.947508,1.380437
"The Garden House Preschool ",103.766957,1.344442
"Ichiban Nurtureland Pte Ltd",103.745785,1.377413
"Clementi Woods Kindergarten Llp",103.765838,1.30275
"Coco-Ro Learning House",103.837956,1.298279
"Two By Two Schoolhouse",103.910552,1.311723
"Twinkle Child Care And Development Centre",103.773739,1.344437
"Banyan Tree Education @ Amk ",103.875414,1.377918
"Ripples Montessori Kindergarten",103.948145,1.333646
"Mulberry Learning Centre Alexandra ",103.811924,1.28818
"Pcf Sparkletots Preschool @ Marsiling Blk 12 (Cc)",103.779347,1.441588
"Mindchamps Preschool @ Paragon Pte. Limited",103.836184,1.30451
"The Little Skool-House International ",103.801364,1.287587
"Maplebear Juniors ",103.964998,1.344177
"Pcf Sparkletots Preschool @ Punggol North Blk 663a (Ds)",103.9172982,1.4003923
"Pcf Sparkletots Preschool @ Jalan Kayu Blk 987c (Ds)",103.8778078,1.3793701
"Pcf Sparkletots Preschool @ Yew Tee Blk 608 (Ds)",103.744591,1.398496
"Pcf Sparkletots Preschool @ Taman Jurong Blk 352 (Ds)",103.720142,1.339397
"Pcf Sparkletots Preschool @ Jalan Kayu Blk 556 (Ds)",103.857733,1.3720889
"Pcf Sparkletots Preschool @ Sengkang Central Blk 231 (Ds)",103.901347,1.3891309
"Pcf Sparkletots Preschool @ Whampoa Blk 85 (Ds)",103.856473,1.322824
"Pcf Sparkletots Preschool @ Bukit Gombak Blk 807c (Cc)",103.7455959,1.376412
"Pcf Sparkletots Preschool @ Bishan North Blk 257 (Cc)",103.842962,1.359734
"Pcf Sparkletots Preschool @ Jurong Spring Blk 528 (Ds)",103.7170979,1.348356
"Pcf Sparkletots Preschool @ Punggol East Blk 123a (Cc)",103.902888,1.386047
"Pcf Sparkletots Preschool @ Whampoa Blk 105 (Cc)",103.854079,1.328209
"My First Skool",103.791807,1.441768
"Pcf Sparkletots Preschool @ Radin Mas Blk 18 (Ds)",103.822332,1.277876
"Sasco Child Care Centre (Bedok)",103.941196,1.332937
"Brighton Montessori Centres ",103.827094,1.294048
"Sunflower Preschool @ Amk ",103.837219,1.373053
"Star Learners @ Toa Payoh ",103.857786,1.333506
"Star Learners @ Gambas ",103.8067738,1.4378735
"Greenland Childcare @ Punggol ",103.9005151,1.4066058
"Ichiban Montessori Childcare Centre (Cck) ",103.739738,1.380895
"Childfirst@Tampines ",103.943035,1.352584
"My Little Gems Private Limited",103.905237,1.3205849
"Carpe Diem Kidz ",103.68286,1.329444
